"Latitude","Longitude","COLETA"
"-23.558435","-46.636664","?"
"-23.54610733046631","-46.64489686489105","GPS"
"-23.54746462816059","-46.645261645317085","GPS"
"-23.547946563826006","-46.64270281791688","GPS"
"-23.549633324742466","-46.64230585098267","GPS"
"-23.54977101855568","-46.64227366447449","GPS"
"-23.54990379459614","-46.642493605613716","GPS"
"-23.55019393436596","-46.64313197135925","GPS"
"-23.550316874753246","-46.64321243762971","GPS"
"-23.551044679490793","-46.64340019226075","GPS"
"-23.551708551919614","-46.645009517669685","GPS"
"-23.552308493008205","-46.64491832256318","GPS"
"-23.551900336663728","-46.64338946342469","GPS"
"-23.55271664808528","-46.64319634437562","GPS"
"-23.552657637791064","-46.64223074913025","GPS"
"-23.5535821293567","-46.64215564727784","GPS"
"-23.553611634299585","-46.642541885375984","GPS"
"-23.55355262440718","-46.64140462875366","GPS"
"-23.554309916014684","-46.64137780666351","GPS"
"-23.554349255719238","-46.64050340652466","GPS"
"-23.55537208390426","-46.641549468040466","GPS"
"-23.55536224905577","-46.641275882720954","GPS"
"-23.555421258135684","-46.640986204147346","GPS"
"-23.55543109297976","-46.640739440917976","GPS"
"-23.5554802671891","-46.64047122001649","GPS"
"-23.555844155766383","-46.63966119289398","GPS"
"-23.552288822852","-46.63770318031311","GPS"
"-23.552170801852927","-46.637552976608276","GPS"
"-23.55224948253075","-46.63744568824769","GPS"
"-23.552401926210003","-46.63733303546906","GPS"
"-23.551993770155647","-46.63610994815827","GPS"
"-23.55161511822497","-46.63482785224915","GPS"
"-23.55058242559736","-46.634280681610115","GPS"
"-23.55011525245777","-46.63411974906922","GPS"
"-23.549726759845743","-46.63387835025787","GPS"
"-23.54962840710361","-46.63391053676606","GPS"
"-23.54890551219095","-46.63358330726624","GPS"
"-23.549308760183507","-46.63309514522553","GPS"
"-23.5490382891056","-46.63296639919282","GPS"
"-23.548738311441042","-46.63290739059449","GPS"
"-23.548256378678023","-46.63307368755341","GPS"
"-23.547931810719607","-46.63316488265991","GPS"
"-23.547681007657467","-46.63313806056977","GPS"
"-23.544917224582314","-46.63358867168427","GPS"
"-23.54411070042177","-46.63403928279877","GPS"
"-23.543923822166466","-46.63438260555267","GPS"
"-23.543559900591337","-46.63444697856904","GPS"
